Fecha,Cod_Equipo,Horas_Trab,Horas_Parada,Ton_Producidas,Ton_Rechazo,Cap_Nominal_TMH,Fecha_Carga
30/09/2024,EQ10,24.0,0.0,11366.8,229.0,500,2024-10-01 00:00:00
11/02/2024,EQ-07 ,24.0,0.0,7594.6,129.3,350,2024-02-12 00:00:00
18/07/2024,EQ-02,24.0,0.0,9474.7,86.7,430,2024-07-19 00:00:00
29/10/2024,eq-02,24.0,0.0,8566.8,105.4,430,2024-10-30 00:00:00
01/01/2024,EQ-03 ,24.0,0.0,8254.8,131.9,380,2024-01-02 00:00:00
04/02/2024, EQ-02,22.8,1.2,8025.5,138.2,430,2024-02-05 00:00:00
09/02/2024,EQ-06,24.0,0.0,6149.8,89.2,300,2024-02-10 00:00:00
14/07/2024, EQ-04,4.0,20.0,1696.0,34.3,460,2024-07-15 00:00:00
21/02/2024,eq-06,16.8,7.2,4287.1,105.4,300,2024-02-22 00:00:00
20/07/2024, EQ-09,24.0,0.0,5956.6,66.3,260,2024-07-21 00:00:00
15/03/2024, EQ-02,24.0,0.0,9569.7,112.0,430,2024-03-16 00:00:00
07/12/2024,eq-02,24.0,0.0,9260.1,226.5,430,2024-12-08 00:00:00
04/01/2024,EQ-02 ,24.0,0.0,9688.8,57.3,430,2024-01-05 00:00:00
13/01/2024,EQ-10,24.0,0.0,10043.4,182.3,500,2024-01-14 00:00:00
05/02/2024,EQ-03,21.2,2.8,7099.2,193.3,380,2024-02-06 00:00:00
01/02/2024,EQ-05,24.0,0.0,6085.1,176.8,300,2024-02-02 00:00:00
03/09/2024,eq-06,17.1,6.9,4833.6,86.6,300,2024-09-04 00:00:00
03/03/2024,EQ01,24.0,0.0,11451.5,233.9,520,2024-03-04 00:00:00
24/11/2024,EQ02,24.0,0.0,8789.1,215.5,430,2024-11-25 00:00:00
29/05/2024,EQ06,16.7,7.3,4358.7,132.7,300,2024-05-30 00:00:00
20/06/2024,EQ-09,24.0,0.0,5945.5,140.9,260,2024-06-21 00:00:00
28/02/2024,EQ-10,24.0,0.0,11579.5,235.9,500,2024-02-29 00:00:00
07/07/2024,EQ04,24.0,0.0,9957.7,171.8,460,2024-07-08 00:00:00
09/12/2024,EQ-10 ,24.0,0.0,9589.1,250.3,500,2024-12-10 00:00:00
11/02/2024,EQ-03 ,24.0,0.0,7959.8,143.4,380,2024-02-12 00:00:00
04/04/2024, EQ-05,24.0,,6035.6,103.1,300,2024-04-05 00:00:00
20/11/2024, EQ-06,24.0,0.0,7128.0,178.8,300,2024-11-21 00:00:00
24/07/2024,EQ-07,24.0,0.0,7607.2,145.5,350,2024-07-25 00:00:00
23/12/2024,eq-07,24.0,0.0,7717.5,141.3,350,2024-12-24 00:00:00
07/12/2024,eq-10,24.0,0.0,10973.0,174.9,500,2024-12-08 00:00:00
12/02/2024,EQ-03,24.0,0.0,7906.3,136.5,380,2024-02-13 00:00:00
11/08/2024,EQ04,24.0,0.0,9071.0,140.9,460,2024-08-12 00:00:00
05/07/2024, EQ-01,24.0,0.0,11836.7,202.5,520,2024-07-06 00:00:00
19/09/2024,EQ-01 ,24.0,0.0,11460.0,285.4,520,2024-09-20 00:00:00
23/10/2024,EQ10,18.5,5.5,8781.0,154.1,500,2024-10-24 00:00:00
24/09/2024,EQ04,24.0,0.0,9841.4,334.0,460,2024-09-25 00:00:00
02/11/2024,EQ-02 ,24.0,0.0,8967.1,160.1,430,2024-11-03 00:00:00
16/09/2024,EQ01,24.0,0.0,11460.5,267.5,520,2024-09-17 00:00:00
07/10/2024,EQ-02 ,24.0,0.0,7629.8,187.7,430,2024-10-06 00:00:00
10/03/2024,EQ03,24.0,0.0,8068.6,202.8,380,2024-03-11 00:00:00
23/09/2024,EQ-05 ,4.0,20.0,1098.5,16.8,300,2024-09-24 00:00:00
08/04/2024, EQ-01,24.0,0.0,11150.2,254.1,520,2024-04-09 00:00:00
26/12/2024,EQ-01 ,24.0,0.0,11938.8,359.6,520,2024-12-27 00:00:00
15/07/2024,EQ-01 ,24.0,0.0,11214.5,244.5,520,2024-07-16 00:00:00
21/04/2024,EQ-10,11.8,12.2,5490.7,166.9,500,2024-04-22 00:00:00
09/04/2024, EQ-04,24.0,0.0,10557.8,109.7,460,2024-04-10 00:00:00
12/12/2024,EQ03,23.2,0.8,7946.1,77.4,380,2024-12-13 00:00:00
20/10/2024,eq-04,24.0,0.0,9686.6,336.3,460,2024-10-21 00:00:00
04/09/2024,EQ-03 ,24.0,0.0,8230.3,169.3,380,2024-09-05 00:00:00
21/05/2024,EQ02,21.8,2.2,6970.3,102.0,430,2024-05-20 00:00:00
30/12/2024,EQ-10 ,17.9,6.1,7756.3,128.5,500,2024-12-31 00:00:00
08/10/2024,EQ-05,24.0,0.0,5828.5,0.0,300,2024-10-09 00:00:00
04/03/2024,eq-06,24.0,0.0,6936.0,259.1,300,2024-03-05 00:00:00
22/08/2024,EQ04,24.0,0.0,9565.6,52.0,460,2024-08-23 00:00:00
10/03/2024,EQ04,18.9,5.1,8507.1,158.6,460,2024-03-11 00:00:00
25/05/2024, EQ-05,24.0,0.0,5672.4,134.2,300,2024-05-26 00:00:00
20/01/2024, EQ-09,24.0,0.0,5637.3,100.1,260,2024-01-21 00:00:00
26/08/2024,EQ-06 ,19.5,4.5,5354.5,125.5,300,2024-08-27 00:00:00
10/09/2024,EQ-03 ,24.0,0.0,8840.8,224.4,380,2024-09-11 00:00:00
07/02/2024, EQ-04,4.0,20.0,1776.2,43.1,460,2024-02-08 00:00:00
01/05/2024,EQ-09 ,24.0,,5916.8,78.0,260,2024-05-02 00:00:00
28/05/2024,EQ02,24.0,0.0,9130.7,144.1,430,2024-05-29 00:00:00
12/01/2024,EQ08,24.0,,9064.3,229.8,400,2024-01-13 00:00:00
12/03/2024,eq-06,24.0,0.0,6486.1,150.5,300,2024-03-13 00:00:00
05/01/2024,EQ04,24.0,0.0,9911.8,116.2,460,2024-01-06 00:00:00
28/06/2024,EQ10,24.0,0.0,11014.9,324.5,500,2024-06-29 00:00:00
08/02/2024,EQ-04,24.0,0.0,9777.3,358.3,460,2024-02-09 00:00:00
09/11/2024,EQ-06 ,24.0,0.0,7128.0,196.0,300,2024-11-10 00:00:00
29/07/2024,EQ-04 ,24.0,,9156.6,218.5,460,2024-07-30 00:00:00
20/04/2024,eq-04,24.0,0.0,9107.2,58.7,460,2024-04-21 00:00:00
07/06/2024,EQ08,24.0,0.0,8019.5,154.6,400,2024-06-05 00:00:00
14/09/2024, EQ-08,24.0,0.0,7947.5,232.7,400,2024-09-15 00:00:00
20/03/2024,eq-02,24.0,0.0,8469.8,107.0,430,2024-03-21 00:00:00
11/07/2024,EQ08,5.8,18.2,2138.4,26.3,400,2024-07-12 00:00:00
13/05/2024, EQ-05,24.0,0.0,7128.0,99.8,300,2024-05-14 00:00:00
11/03/2024,EQ-06 ,5.4,,1460.5,18.0,300,2024-03-12 00:00:00
23/06/2024,EQ08,21.5,2.5,7660.0,184.6,400,2024-06-24 00:00:00
04/06/2024,eq-08,21.4,,7161.8,195.0,400,2024-06-05 00:00:00
19/01/2024,EQ-04,19.7,4.3,7898.1,344.9,460,2024-01-20 00:00:00
05/12/2024,eq-08,24.0,0.0,8742.6,83.1,400,2024-12-06 00:00:00
20/07/2024,EQ-07,24.0,0.0,7625.5,192.6,350,2024-07-21 00:00:00
29/02/2024, EQ-04,24.0,0.0,10004.0,185.5,460,2024-03-01 00:00:00
27/05/2024, EQ-09,24.0,0.0,5626.2,156.3,260,2024-05-28 00:00:00
18/07/2024,EQ-04,24.0,0.0,9178.9,232.9,460,2024-07-19 00:00:00
12/08/2024,EQ-10,23.4,0.6,9013.5,228.4,500,2024-08-13 00:00:00
18/02/2024,EQ07,24.0,0.0,7589.5,131.4,350,2024-02-19 00:00:00
19/03/2024,eq-02,24.0,0.0,8912.7,181.1,430,2024-03-20 00:00:00
16/02/2024, EQ-04,4.0,20.0,1543.6,53.4,460,2024-02-17 00:00:00
09/06/2024,EQ-06,21.7,2.3,5309.6,88.6,300,2024-06-10 00:00:00
07/01/2024,EQ-05,17.2,6.8,4475.3,69.8,300,2024-01-08 00:00:00
17/07/2024,EQ09,24.0,0.0,5094.4,98.7,260,2024-07-18 00:00:00
18/09/2024,EQ06,24.0,,6321.2,94.9,300,2024-09-19 00:00:00
09/11/2024,EQ08,24.0,0.0,8348.0,185.4,400,2024-11-10 00:00:00
07/06/2024,eq-06,24.0,0.0,5832.2,167.3,300,2024-06-05 00:00:00
30/11/2024,EQ-06,24.0,0.0,6611.8,153.0,300,2024-12-01 00:00:00
30/06/2024,EQ-04 ,24.0,0.0,10929.6,234.5,460,2024-07-01 00:00:00
21/09/2024,EQ-09,17.0,7.0,4149.0,81.0,260,2024-09-22 00:00:00
07/06/2024, EQ-05,24.0,0.0,6081.4,133.5,300,2024-06-08 00:00:00
31/01/2024,eq-01,21.6,,9441.2,140.5,520,2024-02-01 00:00:00
25/12/2024,EQ-01,24.0,0.0,12216.5,140.0,520,2024-12-26 00:00:00
08/05/2024,EQ-04,24.0,0.0,9358.8,131.1,460,2024-05-09 00:00:00
27/10/2024,EQ03,24.0,0.0,8084.6,175.9,380,2024-10-28 00:00:00
22/04/2024,eq-04,24.0,0.0,9929.4,176.9,460,2024-04-23 00:00:00
27/11/2024,EQ-08,24.0,0.0,7258.0,247.5,400,2024-11-26 00:00:00
19/12/2024,eq-08,24.0,0.0,9428.7,115.5,400,2024-12-20 00:00:00
14/07/2024,eq-07,24.0,,7744.8,74.7,350,2024-07-15 00:00:00
15/06/2024,eq-03,24.0,0.0,9028.8,66.2,380,2024-06-16 00:00:00
18/08/2024,EQ-02,24.0,0.0,10216.8,194.8,430,2024-08-19 00:00:00
17/03/2024,eq-07,24.0,0.0,7410.1,,350,2024-03-18 00:00:00
24/05/2024,EQ04,24.0,0.0,9803.1,237.1,460,2024-05-25 00:00:00
20/12/2024,EQ-02 ,24.0,0.0,9244.7,120.7,430,2024-12-21 00:00:00
24/08/2024,EQ-04 ,24.0,0.0,9681.5,241.7,460,2024-08-25 00:00:00
15/03/2024,EQ-05 ,18.7,5.3,4961.7,59.5,300,2024-03-16 00:00:00
29/12/2024, EQ-02,24.0,0.0,9662.3,237.7,430,2024-12-30 00:00:00
20/02/2024,EQ-02 ,24.0,0.0,8505.9,85.2,430,2024-02-21 00:00:00
23/09/2024,EQ02,22.2,1.8,8133.9,254.3,430,2024-09-24 00:00:00
05/04/2024,eq-01,21.3,,8954.4,245.6,520,2024-04-06 00:00:00
27/06/2024, EQ-07,24.0,0.0,7458.8,119.9,350,2024-06-28 00:00:00
10/11/2024,EQ05,24.0,0.0,5842.0,70.9,300,2024-11-11 00:00:00
28/03/2024,EQ-01 ,24.0,0.0,10232.2,102.2,520,2024-03-29 00:00:00
06/09/2024,eq-02,24.0,0.0,9534.3,321.8,430,2024-09-07 00:00:00
18/08/2024, EQ-09,24.0,0.0,5574.9,161.5,260,2024-08-19 00:00:00
28/09/2024,EQ-02,22.5,,9519.0,176.0,430,2024-09-29 00:00:00
29/06/2024, EQ-07,24.0,0.0,7698.6,45.6,350,2024-06-30 00:00:00
28/11/2024, EQ-05,24.0,0.0,6529.1,80.2,300,2024-11-29 00:00:00
26/02/2024,EQ-10 ,24.0,0.0,10053.8,231.7,500,2024-02-27 00:00:00
14/12/2024,eq-06,24.0,0.0,7030.4,180.4,300,2024-12-15 00:00:00
16/09/2024,EQ-03,24.0,0.0,8234.1,177.9,380,2024-09-17 00:00:00
06/08/2024,EQ-02,15.8,8.2,6306.5,134.8,430,2024-08-07 00:00:00
13/12/2024,EQ-07 ,24.0,0.0,7673.0,197.4,350,2024-12-14 00:00:00
17/12/2024,EQ-09,24.0,0.0,5746.4,192.0,260,2024-12-18 00:00:00
23/11/2024,EQ08,24.0,0.0,8914.2,157.5,400,2024-11-24 00:00:00
24/12/2024,EQ-01 ,24.0,0.0,11514.4,259.8,520,2024-12-25 00:00:00
22/07/2024,EQ-09 ,24.0,0.0,6139.3,51.3,260,2024-07-23 00:00:00
25/04/2024,EQ01,24.0,0.0,11447.1,290.1,520,2024-04-26 00:00:00
14/11/2024,EQ-03 ,12.9,11.1,4262.4,57.7,380,2024-11-15 00:00:00
16/07/2024,EQ-01,24.0,0.0,9621.2,112.0,520,2024-07-15 00:00:00
19/02/2024,EQ-05,18.3,5.7,5435.1,105.9,300,2024-02-20 00:00:00
20/08/2024, EQ-08,24.0,,8826.2,253.3,400,2024-08-21 00:00:00
07/02/2024,EQ-07,24.0,0.0,7911.7,25.6,350,2024-02-08 00:00:00
04/05/2024,eq-01,24.0,0.0,11386.5,211.4,520,2024-05-05 00:00:00
09/05/2024,eq-05,16.6,7.4,4375.6,76.9,300,2024-05-10 00:00:00
27/05/2024,EQ-05 ,24.0,0.0,6947.8,137.6,300,2024-05-28 00:00:00
20/07/2024,EQ-03 ,24.0,0.0,8182.2,197.4,380,2024-07-21 00:00:00
25/03/2024,EQ-09 ,24.0,0.0,6081.8,82.0,260,2024-03-26 00:00:00
31/12/2024,eq-04,24.0,0.0,9645.8,341.0,460,2024-12-31 00:00:00
11/03/2024,EQ-01 ,24.0,0.0,10575.0,183.2,520,2024-03-12 00:00:00
06/01/2024,EQ-05,24.0,0.0,6274.5,129.5,300,2024-01-07 00:00:00
18/02/2024,eq-02,24.0,0.0,8329.1,133.6,430,2024-02-19 00:00:00
08/03/2024,EQ-02 ,24.0,0.0,9425.0,195.2,430,2024-03-09 00:00:00
05/01/2024,EQ-03,24.0,0.0,7586.8,227.9,380,2024-01-06 00:00:00
07/12/2024,EQ-05 ,24.0,0.0,6963.5,167.1,300,2024-12-08 00:00:00
18/12/2024,eq-08,24.0,0.0,9109.5,139.9,400,2024-12-19 00:00:00
03/08/2024,EQ-07 ,24.0,0.0,7454.4,103.5,350,2024-08-04 00:00:00
27/10/2024, EQ-04,24.0,0.0,10929.6,162.9,460,2024-10-28 00:00:00
15/06/2024, EQ-10,24.0,0.0,9716.0,235.7,500,2024-06-16 00:00:00
02/03/2024, EQ-08,24.0,0.0,8640.6,297.8,400,2024-03-03 00:00:00
02/10/2024,EQ-08,21.4,2.6,7475.7,117.4,400,2024-10-03 00:00:00
20/01/2024,EQ-03 ,24.0,0.0,7630.2,89.9,380,2024-01-21 00:00:00
16/08/2024, EQ-04,10.7,13.3,4446.7,117.2,460,2024-08-17 00:00:00
26/02/2024,EQ05,24.0,0.0,5794.3,68.5,300,2024-02-26 00:00:00
17/12/2024, EQ-03,24.0,0.0,7878.3,84.6,380,2024-12-18 00:00:00
22/07/2024, EQ-02,24.0,0.0,9335.6,175.4,430,2024-07-23 00:00:00
24/12/2024,EQ-06 ,24.0,0.0,6239.3,42.7,300,2024-12-25 00:00:00
15/02/2024,eq-08,24.0,0.0,7227.1,162.0,400,2024-02-16 00:00:00
06/05/2024,eq-03,24.0,0.0,7717.9,169.6,380,2024-05-07 00:00:00
13/03/2024,EQ-06,19.2,4.8,5339.8,88.8,300,2024-03-14 00:00:00
14/06/2024,EQ-08 ,23.3,0.7,8522.5,178.5,400,2024-06-15 00:00:00
10/03/2024, EQ-08,24.0,0.0,8884.9,55.5,400,2024-03-11 00:00:00
18/08/2024, EQ-03,15.7,8.3,5718.6,,380,2024-08-19 00:00:00
13/07/2024, EQ-01,24.0,0.0,11271.3,54.8,520,2024-07-14 00:00:00
19/09/2024,eq-06,18.9,5.1,4994.1,160.1,300,2024-09-20 00:00:00
03/10/2024,EQ-05 ,24.0,0.0,6591.9,121.1,300,2024-10-04 00:00:00
23/07/2024,EQ04,24.0,0.0,9528.2,0.0,460,2024-07-24 00:00:00
19/11/2024,EQ05,24.0,0.0,6627.0,108.8,300,2024-11-20 00:00:00
14/09/2024,eq-05,24.0,0.0,5941.7,69.4,300,2024-09-15 00:00:00
23/08/2024,EQ-05,24.0,0.0,6053.7,145.0,300,2024-08-24 00:00:00
15/08/2024,EQ-06 ,24.0,0.0,6267.5,51.9,300,2024-08-16 00:00:00
30/06/2024,EQ-01,24.0,0.0,10070.2,203.7,520,2024-07-01 00:00:00
27/12/2024,EQ-10 ,24.0,0.0,10996.2,239.0,500,2024-12-28 00:00:00
27/06/2024,eq-10,16.9,7.1,8064.6,197.8,500,2024-06-28 00:00:00
19/07/2024,eq-01,16.3,7.7,6977.6,161.3,520,2024-07-20 00:00:00
25/04/2024,EQ-09,9.4,14.6,2238.1,24.1,260,2024-04-26 00:00:00
27/12/2024,EQ04,24.0,0.0,10109.1,236.0,460,2024-12-28 00:00:00
09/01/2024, EQ-09,16.5,7.5,3911.3,37.1,260,2024-01-10 00:00:00
23/08/2024, EQ-06,15.2,8.8,3968.7,50.2,300,2024-08-24 00:00:00
19/08/2024,eq-06,24.0,0.0,6799.4,153.8,300,2024-08-20 00:00:00
04/07/2024, EQ-04,24.0,0.0,10429.8,133.2,460,2024-07-05 00:00:00
13/03/2024,EQ-02 ,24.0,0.0,9616.1,100.7,430,2024-03-14 00:00:00
06/11/2024, EQ-07,24.0,0.0,7436.8,55.2,350,2024-11-07 00:00:00
27/11/2024,EQ-09,24.0,0.0,6109.4,163.6,260,2024-11-28 00:00:00
24/09/2024,EQ01,24.0,0.0,10372.1,57.2,520,2024-09-25 00:00:00
10/01/2024,EQ-02,21.1,2.9,8383.3,189.2,430,2024-01-11 00:00:00
23/10/2024,EQ-02 ,24.0,0.0,8900.0,166.3,430,2024-10-24 00:00:00
27/09/2024,EQ03,24.0,0.0,8166.7,82.6,380,2024-09-28 00:00:00
28/09/2024,EQ-09 ,21.7,2.3,5585.6,81.6,260,2024-09-29 00:00:00
07/05/2024,EQ-04 ,22.4,,9517.5,71.3,460,2024-05-08 00:00:00
26/04/2024,EQ-08,24.0,0.0,9281.4,191.7,400,2024-04-27 00:00:00
05/01/2024,EQ02,24.0,0.0,9379.4,234.6,430,2024-01-06 00:00:00
25/05/2024,eq-02,24.0,,9174.1,205.6,430,2024-05-26 00:00:00
11/08/2024,EQ-10 ,24.0,0.0,10995.4,224.9,500,2024-08-12 00:00:00
14/05/2024,EQ-10,24.0,0.0,9446.4,68.0,500,2024-05-15 00:00:00
09/07/2024,EQ-06 ,24.0,0.0,7112.1,68.1,300,2024-07-10 00:00:00
02/06/2024,EQ-04,24.0,0.0,9066.1,58.7,460,2024-06-03 00:00:00
12/04/2024,EQ-10,18.4,,7600.0,172.5,500,2024-04-13 00:00:00
16/02/2024,EQ02,24.0,0.0,8877.4,103.2,430,2024-02-17 00:00:00
21/11/2024,EQ-01 ,24.0,0.0,11130.4,409.2,520,2024-11-22 00:00:00
06/01/2024,EQ-07 ,24.0,0.0,7389.4,252.2,350,2024-01-07 00:00:00
03/04/2024,eq-04,13.2,10.8,5363.1,35.0,460,2024-04-04 00:00:00
26/11/2024,EQ03,24.0,0.0,8091.7,250.7,380,2024-11-27 00:00:00
14/06/2024,EQ-04 ,24.0,0.0,10134.1,60.7,460,2024-06-15 00:00:00
23/09/2024,EQ04,24.0,0.0,10385.6,14.0,460,2024-09-24 00:00:00
15/02/2024,EQ-09 ,24.0,0.0,5467.3,10.8,260,2024-02-16 00:00:00
09/11/2024, EQ-05,24.0,0.0,7128.0,187.7,300,2024-11-10 00:00:00
21/08/2024,EQ-06 ,24.0,0.0,6663.3,231.8,300,2024-08-22 00:00:00
01/08/2024,EQ-10 ,22.5,1.5,10312.0,229.4,500,2024-08-02 00:00:00
19/02/2024,EQ-02 ,24.0,0.0,9713.7,138.9,430,2024-02-20 00:00:00
28/01/2024,EQ-06 ,24.0,0.0,6601.7,243.7,300,2024-01-29 00:00:00
29/03/2024,EQ-07,23.0,1.0,7073.7,141.8,350,2024-03-30 00:00:00
13/03/2024,eq-09,24.0,0.0,5747.5,93.2,260,2024-03-14 00:00:00
20/09/2024,EQ-10,24.0,0.0,10184.2,95.2,500,2024-09-21 00:00:00
12/06/2024,EQ09,24.0,0.0,5769.1,112.8,260,2024-06-13 00:00:00
01/04/2024,EQ-08 ,24.0,0.0,8501.1,171.2,400,2024-04-02 00:00:00
17/11/2024,eq-02,17.4,6.6,6674.1,118.1,430,2024-11-18 00:00:00
14/11/2024,eq-02,16.5,7.5,5921.6,156.2,430,2024-11-15 00:00:00
09/12/2024,EQ-04,13.3,10.7,5136.3,97.5,460,2024-12-10 00:00:00
04/11/2024,eq-09,19.7,4.3,3957.1,56.5,260,2024-11-05 00:00:00
07/04/2024, EQ-04,24.0,0.0,9263.0,188.3,460,2024-04-08 00:00:00
10/11/2024,eq-04,24.0,,10241.8,165.0,460,2024-11-11 00:00:00
10/06/2024,EQ-02,24.0,0.0,8695.0,174.6,430,2024-06-11 00:00:00
12/01/2024,EQ02,21.1,2.9,8137.2,202.8,430,2024-01-13 00:00:00
21/01/2024, EQ-10,24.0,0.0,10517.3,81.4,500,2024-01-22 00:00:00
29/03/2024,EQ-10 ,24.0,0.0,10010.3,223.3,500,2024-03-30 00:00:00
06/06/2024,EQ-09,21.3,2.7,5213.3,,260,2024-06-07 00:00:00
09/01/2024,EQ03,24.0,0.0,8212.1,189.4,380,2024-01-10 00:00:00
27/02/2024,EQ03,24.0,0.0,8851.5,94.1,380,2024-02-28 00:00:00
22/03/2024,EQ08,24.0,0.0,8822.7,152.3,400,2024-03-23 00:00:00
24/09/2024,EQ07,24.0,0.0,7541.7,30.3,350,2024-09-25 00:00:00
25/07/2024,EQ05,17.5,6.5,4892.3,70.6,300,2024-07-26 00:00:00
31/05/2024,EQ05,24.0,0.0,6332.7,96.7,300,2024-06-01 00:00:00
01/03/2024,EQ01,24.0,0.0,11148.5,100.3,520,2024-03-02 00:00:00
21/11/2024,EQ-02 ,24.0,0.0,9437.7,324.2,430,2024-11-22 00:00:00
22/11/2024,EQ-03 ,24.0,0.0,8629.9,190.1,380,2024-11-23 00:00:00
22/10/2024,EQ09,18.3,5.7,4478.3,78.5,260,2024-10-23 00:00:00
04/03/2024, EQ-09,24.0,0.0,5569.0,218.8,260,2024-03-05 00:00:00
27/03/2024,eq-05,17.3,6.7,4865.4,62.6,300,2024-03-28 00:00:00
15/05/2024,EQ-06 ,24.0,0.0,6444.4,153.1,300,2024-05-16 00:00:00
12/02/2024,EQ-10 ,19.1,4.9,9204.2,120.6,500,2024-02-13 00:00:00
01/10/2024,EQ-08 ,24.0,0.0,8554.2,170.0,400,2024-10-02 00:00:00
13/08/2024, EQ-08,24.0,0.0,8981.7,134.0,400,2024-08-14 00:00:00
03/08/2024,eq-04,24.0,0.0,9836.2,141.6,460,2024-08-04 00:00:00
03/10/2024,EQ08,24.0,0.0,8643.5,293.1,400,2024-10-04 00:00:00
09/06/2024, EQ-07,24.0,0.0,7135.8,150.9,350,2024-06-10 00:00:00
25/10/2024,EQ-02 ,16.2,7.8,5774.2,83.3,430,2024-10-26 00:00:00
12/09/2024,EQ-06,21.2,,5915.0,0.0,300,2024-09-13 00:00:00
30/09/2024,EQ-03 ,24.0,0.0,7792.5,330.7,380,2024-10-01 00:00:00
10/06/2024,EQ-06 ,24.0,0.0,6469.7,173.0,300,2024-06-11 00:00:00
07/11/2024,eq-08,24.0,0.0,8984.5,186.3,400,2024-11-08 00:00:00
24/11/2024, EQ-01,24.0,0.0,11717.2,158.5,520,2024-11-25 00:00:00
02/12/2024, EQ-04,24.0,0.0,10330.3,130.7,460,2024-12-03 00:00:00
05/08/2024,EQ01,24.0,0.0,10718.8,377.0,520,2024-08-05 00:00:00
18/08/2024,eq-10,21.2,2.8,8988.9,249.9,500,2024-08-19 00:00:00
04/02/2024,EQ-01 ,24.0,0.0,11198.4,382.4,520,2024-02-05 00:00:00
16/03/2024,EQ10,24.0,0.0,11880.0,165.0,500,2024-03-17 00:00:00
04/07/2024,EQ10,24.0,0.0,9900.5,116.4,500,2024-07-05 00:00:00
18/11/2024,EQ07,22.7,1.3,7139.3,209.5,350,2024-11-19 00:00:00
11/03/2024,EQ-03 ,24.0,0.0,8536.2,78.9,380,2024-03-12 00:00:00
15/06/2024, EQ-02,24.0,0.0,9925.7,138.5,430,2024-06-16 00:00:00
23/06/2024,eq-07,24.0,0.0,7734.1,232.0,350,2024-06-24 00:00:00
06/06/2024,EQ-03,24.0,0.0,7958.2,146.9,380,2024-06-07 00:00:00
24/02/2024,eq-02,24.0,0.0,9358.5,279.1,430,2024-02-25 00:00:00
28/01/2024,eq-04,22.4,1.6,10109.7,133.7,460,2024-01-29 00:00:00
23/02/2024,EQ09,24.0,0.0,5719.1,158.3,260,2024-02-24 00:00:00
27/11/2024,EQ-06 ,22.8,1.2,6771.6,60.3,300,2024-11-28 00:00:00
25/06/2024,EQ07,24.0,0.0,7389.2,178.4,350,2024-06-26 00:00:00
08/08/2024,EQ-06 ,21.3,2.7,5694.0,213.9,300,2024-08-09 00:00:00
