fecha,equipo_id,horas_operativas,horas_parada,toneladas_procesadas,toneladas_fuera_especificacion,capacidad_nominal_tmh,turno
2025-08-01,EQ-07,23.4,0.6,7722.8,90.9,350,
2025-02-02,EQ-07,24.0,0.0,7673.7,114.1,350,
2025-07-22,EQ-03,24.0,0.0,7757.0,81.1,380,
2025-03-11,EQ-06,24.0,0.0,7018.2,45.8,300,
2025-08-06,EQ-09,24.0,0.0,5959.5,111.6,260,
2025-10-19,EQ-10,14.7,9.3,7082.5,112.6,500,
2025-06-23,EQ-03,24.0,0.0,7848.5,83.6,380,
2025-12-25,EQ-02,18.6,5.4,6449.7,64.4,430,
2025-06-12,EQ-05,24.0,0.0,6455.5,143.1,300,
2025-03-21,EQ-09,24.0,0.0,5367.6,84.0,260,
2025-02-13,EQ-06,24.0,0.0,6554.2,126.4,300,
2025-06-05,EQ-04,4.52,0.0,1978.5,52.6,460,3.0
2025-05-17,EQ-08,24.0,0.0,9427.3,205.1,400,
2025-05-14,EQ-06,5.25,0.21,1512.6,1.3,300,3.0
2025-02-18,EQ-01,24.0,0.0,11831.5,51.8,520,
2025-07-22,EQ-01,24.0,0.0,11912.6,448.9,520,
2025-07-07,EQ-08,24.0,0.0,8997.8,282.2,400,
2025-08-25,EQ-10,19.4,4.6,8675.9,167.6,500,
2025-05-29,EQ-06,5.45,0.0,1360.1,4.5,300,3.0
2025-05-26,EQ-03,24.0,0.0,7666.1,291.0,380,
2025-02-05,EQ-10,24.0,0.0,10659.3,224.5,500,
2025-01-29,EQ-08,8.2,15.8,2819.9,50.0,400,
2025-07-06,EQ-01,24.0,0.0,11080.6,136.7,520,
2025-06-16,EQ-06,3.96,0.0,939.5,58.2,300,1.0
2025-05-07,EQ-06,1.36,3.2,415.5,103.3,300,1.0
2025-12-22,EQ-08,24.0,0.0,8101.1,152.4,400,
2025-04-27,EQ-05,24.0,0.0,7107.0,132.8,300,
2025-05-06,EQ-04,11.09,0.0,4453.6,38.3,460,3.0
2025-06-02,EQ-04,9.99,0.0,3930.6,199.4,460,1.0
2025-03-24,EQ-03,24.0,0.0,8532.9,240.7,380,
2025-06-03,EQ-04,5.62,0.0,2167.5,109.4,460,2.0
2025-05-25,EQ-10,24.0,0.0,11633.4,114.4,500,
2025-03-28,EQ-01,24.0,0.0,10773.7,257.3,520,
2025-10-08,EQ-03,22.1,1.9,7434.5,107.6,380,
2025-04-03,EQ-06,7.3,0.0,1957.4,17.0,300,3.0
2025-09-08,EQ-10,24.0,0.0,10462.8,262.9,500,
2025-03-07,EQ-09,24.0,0.0,5944.1,118.4,260,
2025-01-27,EQ-04,7.4,16.6,3261.9,25.2,460,
2025-11-28,EQ-10,24.0,0.0,10309.3,162.6,500,
2025-02-17,EQ-08,24.0,0.0,8622.3,206.1,400,
2025-11-25,EQ-09,24.0,0.0,5494.1,161.5,260,
2025-09-09,EQ-10,24.0,0.0,11531.9,253.9,500,
2025-07-20,EQ-06,24.0,0.0,6561.8,93.3,300,
2025-06-21,EQ-04,9.75,0.0,4346.9,119.4,460,2.0
2025-09-11,EQ-02,24.0,0.0,9514.2,216.3,430,
2025-11-06,EQ-02,24.0,0.0,9812.8,274.1,430,
2025-02-21,EQ-01,24.0,0.0,10683.1,271.2,520,
2025-01-27,EQ-10,24.0,0.0,11033.3,214.9,500,
2025-11-24,EQ-03,24.0,0.0,8456.4,225.4,380,
2025-11-30,EQ-10,24.0,0.0,10174.4,199.5,500,
2025-04-26,EQ-06,9.88,0.42,2895.1,26.9,300,1.0
2025-11-12,EQ-04,19.6,4.4,7743.3,85.2,460,
2025-07-27,EQ-06,24.0,0.0,6262.2,116.3,300,
2025-12-09,EQ-10,24.0,0.0,10853.3,268.0,500,
2025-04-27,EQ-02,24.0,0.0,9145.9,209.8,430,
2025-12-20,EQ-06,24.0,0.0,6181.1,153.7,300,
2025-05-02,EQ-07,24.0,0.0,7730.1,140.6,350,
2025-03-29,EQ-04,24.0,0.0,8806.6,98.7,460,
2025-11-15,EQ-07,24.0,0.0,7320.3,159.1,350,
2025-02-27,EQ-04,24.0,0.0,10055.7,343.5,460,
2025-11-30,EQ-03,24.0,0.0,7747.8,40.2,380,
2025-07-17,EQ-09,24.0,0.0,5838.6,38.2,260,
2025-09-21,EQ-10,24.0,0.0,10200.4,243.9,500,
2025-02-07,EQ-02,15.4,8.6,6156.9,156.0,430,
2025-09-14,EQ-10,24.0,0.0,10514.6,222.9,500,
2025-10-09,EQ-03,24.0,0.0,7459.8,229.8,380,
2025-11-29,EQ-01,24.0,0.0,11588.8,117.8,520,
2025-02-17,EQ-06,24.0,0.0,6102.0,158.8,300,
2025-03-03,EQ-08,24.0,0.0,9050.2,99.2,400,
2025-12-06,EQ-02,24.0,0.0,9225.0,138.3,430,
2025-05-28,EQ-04,3.07,0.0,1464.2,78.9,460,1.0
2025-07-30,EQ-09,21.6,2.4,5393.8,,260,
2025-01-16,EQ-02,15.8,8.2,6182.5,0.0,430,
2025-04-29,EQ-05,24.0,0.0,6204.9,128.6,300,
2025-01-30,EQ-02,24.0,0.0,8909.2,34.6,430,
2025-11-04,EQ-05,24.0,0.0,5966.0,39.6,300,
2025-12-08,EQ-05,24.0,0.0,6582.0,186.6,300,
2025-09-18,EQ-09,24.0,0.0,5980.1,223.7,260,
2025-11-03,EQ-05,24.0,0.0,6648.9,115.7,300,
2025-11-13,EQ-06,24.0,0.0,6403.3,185.1,300,
2025-08-26,EQ-10,24.0,0.0,11233.6,313.8,500,
2025-10-09,EQ-07,17.4,6.6,5357.0,136.6,350,
2025-12-03,EQ-09,24.0,0.0,5392.4,89.6,260,
2025-07-29,EQ-06,24.0,0.0,5964.1,201.3,300,
2025-01-05,EQ-03,24.0,0.0,8742.2,91.1,380,
2025-04-07,EQ-04,3.51,0.0,1212.9,15.2,460,2.0
2025-01-23,EQ-05,8.7,15.3,2583.9,46.3,300,
2025-04-28,EQ-01,21.6,2.4,9821.2,306.5,520,
2025-11-05,EQ-01,24.0,0.0,11891.2,166.0,520,
2025-04-25,EQ-04,10.51,0.77,4794.7,76.7,460,3.0
2025-11-01,EQ-05,24.0,0.0,6370.0,122.4,300,
2025-10-04,EQ-06,24.0,0.0,5713.5,151.5,300,
2025-03-06,EQ-01,22.2,1.8,10033.9,104.8,520,
2025-02-09,EQ-08,21.4,2.6,7875.3,155.4,400,
2025-11-19,EQ-03,18.2,5.8,5807.0,124.7,380,
2025-01-02,EQ-06,24.0,0.0,6678.7,110.1,300,
2025-06-17,EQ-05,24.0,0.0,5762.0,99.1,300,
2025-12-03,EQ-10,22.7,1.3,9715.5,176.1,500,
2025-08-20,EQ-09,24.0,0.0,5870.1,89.7,260,
2025-06-06,EQ-04,6.35,0.0,2348.4,57.1,460,3.0
2025-10-29,EQ-06,24.0,0.0,6727.7,136.2,300,
2025-11-11,EQ-06,24.0,0.0,6311.3,195.5,300,
2025-12-26,EQ-09,24.0,0.0,5687.2,164.2,260,
2025-10-29,EQ-08,24.0,0.0,8835.4,270.8,400,
2025-06-08,EQ-01,4.8,19.2,2292.1,40.6,520,
2025-11-22,EQ-01,24.0,0.0,10000.4,284.8,520,
2025-03-07,EQ-05,24.0,0.0,6125.6,138.8,300,
2025-07-29,EQ-04,24.0,0.0,9316.5,203.8,460,
2025-05-20,EQ-01,24.0,0.0,11048.3,180.6,520,
2025-11-16,EQ-01,24.0,0.0,11109.9,245.2,520,
2025-05-05,EQ-05,24.0,0.0,6916.1,0.0,300,
2025-10-22,EQ-08,24.0,0.0,8314.8,326.2,400,
2025-08-22,EQ-06,24.0,0.0,6440.8,142.8,300,
2025-05-01,EQ-03,24.0,0.0,7752.5,179.8,380,
2025-05-07,EQ-03,24.0,0.0,8224.2,181.5,380,
2025-08-22,EQ-07,24.0,0.0,7539.0,107.1,350,
2025-01-24,EQ-03,24.0,0.0,7849.3,211.9,380,
2025-10-14,EQ-06,24.0,0.0,6772.5,253.2,300,
2025-12-12,EQ-09,24.0,0.0,5753.4,87.5,260,
2025-03-16,EQ-09,9.7,14.3,2258.9,19.0,260,
2025-09-07,EQ-06,24.0,0.0,6735.4,183.5,300,
2025-06-05,EQ-06,3.75,0.0,1066.4,40.3,300,1.0
2025-07-09,EQ-07,21.2,2.8,7220.2,158.6,350,
2025-07-08,EQ-03,24.0,0.0,7962.2,100.8,380,
2025-12-05,EQ-06,24.0,0.0,6993.1,164.9,300,
2025-07-04,EQ-07,24.0,0.0,7069.2,157.1,350,
2025-01-22,EQ-04,24.0,0.0,9517.8,85.4,460,
2025-05-11,EQ-05,24.0,0.0,6257.6,117.3,300,
2025-07-05,EQ-09,24.0,0.0,4923.2,162.2,260,
2025-08-04,EQ-09,24.0,0.0,5210.5,80.8,260,
2025-08-03,EQ-06,24.0,0.0,6644.4,177.1,300,
2025-09-28,EQ-08,24.0,0.0,8654.0,211.6,400,
2025-07-01,EQ-01,18.9,5.1,9390.6,289.7,520,
2025-09-22,EQ-05,24.0,0.0,6113.2,143.7,300,
2025-04-13,EQ-06,4.11,0.0,1216.9,23.8,300,1.0
2025-03-11,EQ-09,24.0,0.0,5310.6,171.3,260,
2025-01-22,EQ-05,24.0,0.0,6186.4,115.1,300,
2025-11-03,EQ-03,16.6,7.4,5449.2,126.2,380,
2025-11-04,EQ-03,23.5,0.5,7395.4,229.0,380,
2025-01-03,EQ-03,24.0,0.0,8055.4,138.2,380,
2025-08-28,EQ-04,24.0,0.0,9885.8,268.0,460,
2025-06-24,EQ-07,24.0,0.0,8125.8,245.4,350,
2025-06-01,EQ-01,24.0,0.0,10245.9,241.5,520,
2025-04-20,EQ-01,24.0,0.0,11486.1,265.3,520,
2025-04-19,EQ-09,24.0,0.0,5665.2,88.3,260,
2025-06-25,EQ-04,0.74,0.0,397.5,20.1,460,3.0
2025-05-05,EQ-01,24.0,0.0,12355.2,286.1,520,
2025-03-12,EQ-01,24.0,0.0,10745.0,258.7,520,
2025-02-04,EQ-08,24.0,0.0,8724.9,211.4,400,
2025-11-11,EQ-09,24.0,0.0,5739.0,12.4,260,
2025-11-08,EQ-10,17.9,6.1,8344.6,233.3,500,
2025-03-30,EQ-09,24.0,0.0,5450.1,138.1,260,
2025-06-21,EQ-06,7.87,0.0,2160.0,46.9,300,2.0
2025-05-07,EQ-04,1.89,0.97,733.9,15.0,460,1.0
2025-04-11,EQ-04,2.27,0.34,957.7,256.5,460,2.0
2025-01-11,EQ-03,16.5,7.5,5867.1,87.8,380,
2025-03-05,EQ-06,24.0,0.0,6416.8,200.1,300,
2025-07-03,EQ-05,22.0,2.0,5283.7,163.8,300,
2025-03-08,EQ-08,24.0,0.0,7928.6,181.1,400,
2025-08-08,EQ-10,24.0,0.0,10523.3,108.6,500,
2025-08-22,EQ-01,24.0,0.0,10808.3,215.5,520,
2025-04-01,EQ-06,4.52,0.0,943.0,28.7,300,3.0
2025-08-25,EQ-01,24.0,0.0,10616.6,207.6,520,
2025-04-02,EQ-04,1.09,0.0,435.1,162.2,460,3.0
2025-10-03,EQ-02,17.6,6.4,7457.3,310.9,430,
2025-07-15,EQ-03,24.0,0.0,8827.1,103.5,380,
2025-11-15,EQ-03,24.0,0.0,7970.2,128.0,380,
2025-06-08,EQ-04,9.83,0.0,3695.7,65.7,460,3.0
2025-03-26,EQ-08,24.0,0.0,9168.4,211.6,400,
2025-11-15,EQ-10,24.0,0.0,10883.1,290.0,500,
2025-12-04,EQ-09,24.0,0.0,5696.1,135.0,260,
2025-04-26,EQ-05,9.1,14.9,2470.2,31.5,300,
2025-03-17,EQ-06,22.0,2.0,5929.1,124.7,300,
2025-10-16,EQ-10,24.0,0.0,10350.2,122.7,500,
2025-09-07,EQ-10,24.0,0.0,10382.3,164.3,500,
2025-02-01,EQ-07,24.0,0.0,6883.5,132.9,350,
2025-12-18,EQ-04,24.0,0.0,10929.6,215.4,460,
2025-01-28,EQ-05,16.1,7.9,4549.7,159.5,300,
2025-09-21,EQ-08,21.2,2.8,7837.3,168.1,400,
2025-12-18,EQ-09,24.0,0.0,5921.0,118.2,260,
2025-10-24,EQ-01,24.0,0.0,10721.8,250.6,520,
2025-04-10,EQ-09,24.0,0.0,5567.3,85.5,260,
2025-08-15,EQ-09,24.0,0.0,6083.6,90.4,260,
2025-03-30,EQ-02,24.0,0.0,9825.9,185.9,430,
2025-09-04,EQ-03,24.0,0.0,7442.2,46.0,380,
2025-05-19,EQ-07,24.0,0.0,6630.3,198.8,350,
2025-06-29,EQ-01,24.0,0.0,11407.5,164.5,520,
2025-05-03,EQ-04,0.41,1.08,235.4,7.4,460,3.0
2025-03-12,EQ-06,12.2,11.8,3249.8,65.2,300,
2025-06-20,EQ-02,24.0,0.0,10195.0,119.9,430,
2025-06-09,EQ-02,24.0,0.0,9011.9,247.1,430,
2025-10-03,EQ-10,23.5,0.5,9952.5,166.1,500,
2025-03-03,EQ-02,24.0,0.0,8558.6,238.9,430,
2025-01-15,EQ-09,24.0,0.0,5537.0,47.7,260,
2025-01-30,EQ-01,24.0,0.0,10748.6,165.4,520,
2025-06-02,EQ-06,2.13,1.62,572.8,42.5,300,3.0
2025-02-22,EQ-06,24.0,0.0,5976.6,106.2,300,
2025-01-21,EQ-10,24.0,0.0,11079.4,279.8,500,
2025-02-19,EQ-10,17.0,7.0,7878.2,183.5,500,
2025-04-10,EQ-10,24.0,0.0,10695.5,275.4,500,
2025-09-26,EQ-09,24.0,0.0,5836.8,143.8,260,
2025-01-10,EQ-09,24.0,0.0,5758.7,90.1,260,
2025-09-21,EQ-04,24.0,0.0,9450.1,205.0,460,
2025-07-15,EQ-02,23.5,0.5,8304.4,207.4,430,
2025-05-01,EQ-02,24.0,0.0,9360.5,429.9,430,
2025-02-24,EQ-07,24.0,0.0,6982.3,84.5,350,
2025-02-27,EQ-05,24.0,0.0,6870.4,129.4,300,
2025-03-26,EQ-06,4.0,20.0,1125.6,19.4,300,
2025-06-20,EQ-01,24.0,0.0,9709.9,233.4,520,
2025-08-10,EQ-07,24.0,0.0,7255.8,194.5,350,
2025-04-10,EQ-06,2.31,0.0,614.0,21.7,300,1.0
2025-08-20,EQ-04,24.0,0.0,9981.8,338.8,460,
2025-01-24,EQ-09,24.0,0.0,5971.8,158.9,260,
2025-05-08,EQ-05,24.0,0.0,6628.5,109.1,300,
2025-07-18,EQ-05,24.0,0.0,6624.3,144.1,300,
2025-12-27,EQ-06,2.6,21.4,752.9,23.1,300,
2025-10-06,EQ-08,24.0,0.0,9048.4,101.2,400,
2025-11-11,EQ-07,24.0,0.0,7319.6,200.2,350,
2025-02-02,EQ-03,24.0,0.0,8960.6,126.5,380,
2025-01-30,EQ-10,22.1,1.9,9562.4,173.3,500,
2025-04-07,EQ-07,24.0,0.0,7935.8,238.5,350,
2025-11-21,EQ-07,24.0,0.0,7041.7,33.9,350,
2025-12-20,EQ-07,24.0,0.0,7590.5,169.4,350,
2025-11-14,EQ-02,24.0,0.0,9499.6,174.0,430,
2025-06-25,EQ-03,24.0,0.0,8343.8,267.2,380,
2025-09-27,EQ-03,16.7,7.3,6282.5,,380,
2025-05-16,EQ-06,12.67,0.0,3544.6,79.2,300,2.0
2025-09-24,EQ-09,24.0,0.0,5269.7,116.2,260,
2025-01-01,EQ-02,24.0,0.0,8832.4,135.4,430,
2025-06-13,EQ-04,10.09,0.0,4144.3,60.6,460,1.0
2025-11-19,EQ-10,24.0,0.0,10902.6,307.6,500,
2025-05-17,EQ-04,0.16,0.0,266.8,1.6,460,1.0
2025-03-16,EQ-08,24.0,0.0,8427.6,195.3,400,
2025-06-04,EQ-03,24.0,0.0,7390.8,120.0,380,
2025-03-27,EQ-01,24.0,0.0,10832.3,193.2,520,
2025-01-01,EQ-05,18.3,5.7,5435.1,111.5,300,
2025-03-15,EQ-10,24.0,0.0,10168.4,4.3,500,
2025-05-24,EQ-06,8.26,0.0,1978.3,13.2,300,3.0
2025-08-27,EQ-03,21.7,2.3,7191.9,175.7,380,
2025-10-29,EQ-05,24.0,0.0,6599.3,74.4,300,
2025-11-11,EQ-08,24.0,0.0,7725.5,94.3,400,
2025-09-01,EQ-03,24.0,0.0,8332.8,195.6,380,
2025-07-20,EQ-10,24.0,0.0,10747.6,6.6,500,
2025-03-09,EQ-01,22.9,1.1,9793.7,231.4,520,
2025-11-03,EQ-09,24.0,0.0,5410.7,113.7,260,
2025-03-01,EQ-08,24.0,0.0,8510.1,251.5,400,
2025-11-17,EQ-08,24.0,0.0,9065.5,185.2,400,
2025-05-11,EQ-03,24.0,0.0,7755.2,135.6,380,
2025-05-19,EQ-09,24.0,0.0,6112.9,147.9,260,
2025-03-02,EQ-02,24.0,0.0,9116.4,207.1,430,
2025-06-21,EQ-02,24.0,0.0,9582.1,49.4,430,
2025-05-15,EQ-07,20.4,3.6,6295.6,86.0,350,
2025-07-22,EQ-08,24.0,0.0,9244.4,170.2,400,
2025-01-12,EQ-09,16.6,7.4,4141.2,39.2,260,
2025-07-13,EQ-03,24.0,0.0,8251.9,285.4,380,
2025-07-17,EQ-07,24.0,0.0,7426.2,155.3,350,
2025-06-04,EQ-04,20.53,0.0,9310.4,5.7,460,1.0
2025-04-20,EQ-06,10.41,0.0,2687.5,15.1,300,2.0
2025-06-15,EQ-06,5.5,0.0,1530.2,6.6,300,1.0
2025-09-16,EQ-01,24.0,0.0,11126.2,386.4,520,
2025-10-01,EQ-03,13.7,10.3,4363.2,112.1,380,
2025-09-15,EQ-03,24.0,0.0,8549.0,199.7,380,
2025-07-29,EQ-02,24.0,0.0,9283.5,11.1,430,
2025-02-21,EQ-02,24.0,0.0,9715.2,208.8,430,
2025-05-25,EQ-01,22.8,1.2,10647.2,205.3,520,
2025-10-30,EQ-04,23.5,0.5,9633.3,119.1,460,
2025-05-17,EQ-07,24.0,0.0,7583.4,246.1,350,
2025-10-04,EQ-08,24.0,0.0,8363.6,172.4,400,
2025-12-27,EQ-01,19.9,4.1,9107.4,209.3,520,
2025-01-20,EQ-01,8.1,15.9,3840.7,135.3,520,
2025-11-23,EQ-06,22.2,1.8,6220.5,56.7,300,
2025-08-27,EQ-10,24.0,0.0,10965.5,254.6,500,
2025-10-25,EQ-10,24.0,0.0,10360.9,305.7,500,
2025-07-21,EQ-05,24.0,0.0,6533.3,207.4,300,
2025-11-24,EQ-02,24.0,0.0,10121.0,246.7,430,
2025-09-29,EQ-07,24.0,0.0,7924.6,151.9,350,
2025-03-14,EQ-08,24.0,0.0,8578.7,243.4,400,
2025-04-17,EQ-04,8.97,0.67,3996.7,11.7,460,3.0
2025-11-05,EQ-05,24.0,0.0,5683.4,167.9,300,
2025-06-18,EQ-04,3.07,0.0,1094.3,68.9,460,3.0
2025-05-03,EQ-10,9.8,14.2,4714.5,141.4,500,
2025-04-30,EQ-03,15.6,8.4,5358.4,100.2,380,
2025-10-23,EQ-07,24.0,0.0,7919.2,220.7,350,
2025-03-23,EQ-05,24.0,0.0,5902.4,69.5,300,
2025-07-14,EQ-05,19.3,4.7,5584.7,150.9,300,
2025-07-11,EQ-05,24.0,0.0,6667.7,122.4,300,
2025-09-23,EQ-04,13.3,10.7,6035.6,18.7,460,
2025-10-04,EQ-05,16.3,7.7,4606.9,95.6,300,
2025-12-04,EQ-01,24.0,0.0,11534.8,278.9,520,
2025-04-27,EQ-08,24.0,0.0,8883.7,219.5,400,
2025-09-10,EQ-08,24.0,0.0,9081.5,284.9,400,
2025-03-17,EQ-08,24.0,0.0,9009.5,228.9,400,
2025-07-04,EQ-02,24.0,0.0,10023.6,265.6,430,
2025-01-14,EQ-05,24.0,0.0,6696.6,110.4,300,
2025-07-20,EQ-07,24.0,0.0,7272.2,150.4,350,
2025-09-27,EQ-05,24.0,0.0,6458.6,38.0,300,
2025-06-10,EQ-03,24.0,0.0,8522.8,117.7,380,
2025-12-18,EQ-05,23.3,0.7,5688.2,108.3,300,
2025-06-03,EQ-07,24.0,0.0,7627.9,229.7,350,
2025-03-04,EQ-05,16.3,7.7,4362.4,80.7,300,
2025-10-27,EQ-05,22.5,1.5,6648.5,,300,
2025-12-04,EQ-06,24.0,0.0,6587.5,166.0,300,
2025-12-10,EQ-05,24.0,0.0,6426.6,105.8,300,
2025-04-27,EQ-06,3.82,0.0,990.0,46.6,300,3.0
2025-12-22,EQ-02,24.0,0.0,9433.4,92.0,430,
2025-08-23,EQ-10,24.0,0.0,11880.0,281.3,500,
2025-02-07,EQ-07,24.0,0.0,7907.6,268.3,350,
2025-05-22,EQ-06,1.33,0.0,320.3,27.3,300,2.0
2025-08-31,EQ-10,24.0,0.0,10399.9,252.0,500,
2025-06-15,EQ-09,24.0,0.0,5914.1,89.9,260,
2025-09-20,EQ-05,24.0,0.0,5570.9,96.1,300,
2025-01-23,EQ-06,24.0,0.0,6974.3,72.5,300,
2025-04-18,EQ-08,24.0,0.0,8540.8,264.6,400,
2025-02-25,EQ-01,24.0,0.0,11369.0,203.9,520,
2025-10-07,EQ-01,24.0,0.0,11718.6,305.0,520,
2025-03-18,EQ-08,24.0,0.0,8868.0,25.3,400,
2025-05-29,EQ-09,24.0,0.0,5526.0,151.4,260,
2025-11-21,EQ-02,24.0,0.0,10216.8,68.6,430,
2025-10-02,EQ-01,24.0,0.0,11070.0,307.3,520,
2025-12-19,EQ-01,24.0,0.0,10452.8,236.9,520,
2025-12-04,EQ-02,24.0,0.0,8446.6,264.3,430,
2025-05-01,EQ-09,24.0,0.0,5488.7,150.6,260,
2025-04-09,EQ-04,2.72,0.0,964.6,35.1,460,2.0
2025-12-31,EQ-08,24.0,0.0,8932.9,186.9,400,
2025-08-17,EQ-08,21.3,2.7,7521.4,95.3,400,
2025-04-16,EQ-01,24.0,0.0,10550.0,88.9,520,
2025-02-07,EQ-04,24.0,0.0,10108.4,238.9,460,
2025-05-05,EQ-03,24.0,0.0,8296.3,184.1,380,
2025-06-03,EQ-10,24.0,0.0,11446.3,268.6,500,
2025-02-13,EQ-03,24.0,0.0,7961.4,181.2,380,
2025-05-14,EQ-04,7.86,0.0,2836.0,20.5,460,1.0
2025-09-06,EQ-08,24.0,0.0,9336.8,198.1,400,
2025-01-19,EQ-03,24.0,0.0,9028.8,58.3,380,
2025-02-05,EQ-09,24.0,0.0,5932.3,110.4,260,
2025-12-08,EQ-07,18.1,5.9,5784.6,120.0,350,
2025-05-18,EQ-06,7.96,0.0,2303.2,97.5,300,2.0
2025-12-11,EQ-05,4.0,20.0,1005.8,23.2,300,
2025-05-07,EQ-05,6.8,17.2,1685.8,31.8,300,
2025-06-23,EQ-06,4.78,0.0,1458.8,2.1,300,3.0
2025-04-03,EQ-04,3.26,0.0,1404.5,121.4,460,3.0
2025-09-02,EQ-05,24.0,0.0,6578.1,172.9,300,
2025-06-25,EQ-02,17.1,6.9,6957.6,122.6,430,
2025-05-16,EQ-06,10.14,0.0,2775.4,38.0,300,3.0
2025-10-27,EQ-02,20.7,3.3,7727.9,135.8,430,
2025-04-05,EQ-06,3.9,0.79,1251.9,23.0,300,2.0
2025-03-08,EQ-05,24.0,0.0,6207.0,100.1,300,
2025-08-23,EQ-06,24.0,0.0,6788.4,116.9,300,
2025-10-31,EQ-07,24.0,0.0,7340.3,174.3,350,
2025-10-08,EQ-05,24.0,0.0,6447.9,138.5,300,
2025-07-19,EQ-09,24.0,0.0,5726.4,139.9,260,
2025-09-08,EQ-02,24.0,0.0,8791.8,165.3,430,
2025-01-31,EQ-08,24.0,0.0,9242.3,125.1,400,
2025-04-06,EQ-02,24.0,0.0,8582.6,134.6,430,
2025-05-09,EQ-06,0.03,0.0,69.0,15.8,300,2.0
2025-07-14,EQ-09,24.0,0.0,5315.2,139.2,260,
2025-08-13,EQ-08,24.0,0.0,9206.9,152.9,400,
2025-07-09,EQ-06,16.8,7.2,4388.0,51.6,300,
2025-01-08,EQ-04,24.0,0.0,9650.6,118.8,460,
2025-01-28,EQ-02,4.0,20.0,1492.1,24.4,430,
2025-04-13,EQ-08,21.1,2.9,8043.2,187.1,400,
2025-06-05,EQ-01,21.4,2.6,8478.0,140.1,520,
2025-03-25,EQ-02,24.0,0.0,8958.5,186.3,430,
2025-10-20,EQ-04,21.1,2.9,9016.2,131.4,460,
2025-07-24,EQ-08,24.0,0.0,8734.4,185.2,400,
2025-04-07,EQ-04,15.4,0.0,7256.9,8.9,460,3.0
2025-02-20,EQ-03,24.0,0.0,8858.7,111.0,380,
